Sl. No.,College Name,District,Email,Establish Year,College Type,Course Type,Contact No.,Link
,,,,,,,,
1,"Government Law College Ajmer, Rajasthan",Ajmer,govtlawcollegeajm@gmail.com,2006, CoEd,PG,01412787594,https://hte.rajasthan.gov.in/college/glcajmer
2,GOVERNMENT COLLEGE PUSHKAR,Ajmer,principalgcpushkar@gmail.com,2013, CoEd,UG,0145-2772227,https://hte.rajasthan.gov.in/college/gcpushar
3,"Government College, KEKRI",Ajmer,governmentcollegekekri@gmail.com,1977, CoEd,PG,9414421213,https://hte.rajasthan.gov.in/college/gckekri
4,Govt. Girls College Ajmer,Ajmer,ggcajmer@gmail.com,1994, Girls,PG,0145-2627645,https://hte.rajasthan.gov.in/college/ggcajmer
5,"Shri Govind Singh Gurjar Rajkiya Mahavidyalaya,Nasirabad",Ajmer,sgsggcn@gmail.com,1970, CoEd,PG,01491294077,https://hte.rajasthan.gov.in/college/gcnasirabad
6,"Shri Ratanlal Kanwarlal Patni Government P.G. College,Kishangarh",Ajmer,srkpatnigck@gmail.com,1959, CoEd,PG,01463-245660,https://hte.rajasthan.gov.in/college/gckishangarh
7,"SAMRAT PRITHVIRAJ CHAUHAN GOVERNMENT COLLEGE, AJMER",Ajmer,gcajmer175@gmail.com,1896, CoEd,PG,01452461946,https://hte.rajasthan.gov.in/college/gcajmer
8,Government Girls College Sarwar,Ajmer,ggcsarwar@gmail.com,2013, Girls,PG,0149-6230700,https://hte.rajasthan.gov.in/college/ggcsarwar
9,"S. D. GOVERNMENT COLLEGE, BEAWAR",Ajmer,sdcollegebeawar@gmail.com,1955, CoEd,PG,01462-224548,https://hte.rajasthan.gov.in/college/gcbeawar
10,GOVERNMENT COLLEGE MASUDA(BEAWAR),Ajmer,gc.masuda1@gmail.com,2017, CoEd,UG,7597278427,https://hte.rajasthan.gov.in/college/gcmasuda
11,"Government College, Arain",Ajmer,gcollegearain@gmail.com,2017, CoEd,UG,0146300000,https://hte.rajasthan.gov.in/college/gcarain
12,Government College Bhinay,Ajmer,gcbhinay@gmail.com,2020, CoEd,UG,8107674873,https://hte.rajasthan.gov.in/college/gcbhinay
13,Government College Sawar,Ajmer,governmentcollegesawar@gmail.com,2020, CoEd,UG,9414708963,https://hte.rajasthan.gov.in/college/gcsawar
14,GOVERNMENT COLLEGE TANTOTI,Ajmer,GCTANTOTI@GMAIL.COM,2022, CoEd,UG,9414649176,https://hte.rajasthan.gov.in/college/gctantoti
15,Government Girls College Nasirabad,Ajmer,ggcnasirabad@gmail.com,2022, Girls,UG,1491294077,https://hte.rajasthan.gov.in/college/ggnasirabad
16,Government College Rupangarh,Ajmer,gcroopangarh@gmail.com,2022, CoEd,UG,9413580382,https://hte.rajasthan.gov.in/college/gcrupangarh
17,Government College Bijainagar,Ajmer,gcvijainagar@gmail.com,2022, CoEd,UG,9636215155,https://hte.rajasthan.gov.in/college/gcvijainagar
18,"Shri Brijmohan Lal Sharma Government Girls College, Beawar",Ajmer,govtgirlscollegebeawar@gmail.com,2022, Girls,UG,1462224548,https://hte.rajasthan.gov.in/college/ggcbeawar
19,GOVT GIRLS COLLEGE KISHANGARH,Ajmer,ggckishangarh@gmail.com,2022, Girls,UG,9680155067,https://hte.rajasthan.gov.in/college/ggckishangarh
20,Government College Kadera,Ajmer,GCKADERA@gmail.com,2023, CoEd,UG,9829796090,https://hte.rajasthan.gov.in/college/govtcollegekaderaphp
21,Government College Peesangan,Ajmer,gcpisangan2023@gmail.com,2023, CoEd,UG,01491294077,https://hte.rajasthan.gov.in/college/gcpisangan
22,Government College  Nand,Ajmer,govtcollegenand@gmail.com,2023, CoEd,UG,9116699934,https://hte.rajasthan.gov.in/college/gcnp
23,Government College Borada,Ajmer,gcborada23@gmail.com,2023, CoEd,UG,9214956338,https://hte.rajasthan.gov.in/college/gcborada
24,Babu Shobha Ram Government Arts College Alwar (Rajasthan),Alwar,artscollegealwar@gmail.com,1979, CoEd,PG,0144-2732336,https://hte.rajasthan.gov.in/college/gcaalwar
25,"GOVERNMENT PG COLLEGE, THANAGAZI (ALWAR)",Alwar,gcthanagazi@gmail.com,2004, CoEd,PG,1465-294342,https://hte.rajasthan.gov.in/college/gcthanagazi
